"key","en","de",
"starterkitareas.area.spacer.x3","Spacer x3","Abstand x3",
"starterkitareas.area.spacer.x4","Spacer x4","Abstand x4",
"starterkitareas.area.spacer.x5","Spacer x5","Abstand x5",

"starterkitareas.area.video.name","Video","Video",
"starterkitareas.area.video.description","with caption & Lightbox Options","mit Beschriftungs- und Lightbox-Optionen",
"starterkitareas.area.video.strInfo","Insert custom video placeholder image and enable/disable video options","Eigenes Video Platzhalter Bild einfügen und Video-Optionen aktivieren/deaktivieren",
"starterkitareas.area.video.imageVideoPrview","Video placeholder image ","Video Platzhalter Bild "
"starterkitareas.area.video.selectVideoRatio","Choose the video aspect ratio","Wählen Sie das Video Seitenverhältnis",
"starterkitareas.area.video.4x3","Ratio 4x3","Ratio 4x3",
"starterkitareas.area.video.16x9","Ratio 16x9","Ratio 16x9",
"starterkitareas.area.video.21x9","Ratio 21x9","Ratio 21x9",
"starterkitareas.area.video.checkboxEnableLightbox","Enable Lightbox","Lightbox aktivieren",
"starterkitareas.area.video.checkboxDisplayCaption","Display Caption","Beschriftung anzeigen",
"starterkitareas.area.video.checkboxDisableControls","Disable Controls","Steuerelemente deaktivieren",
"starterkitareas.area.video.checkboxEnableAutoplay","Enable Autoplay","Autoplay aktivieren",
"starterkitareas.area.video.checkboxEnableLoop","Enable Loop","Wiederholung aktivieren",
"starterkitareas.area.video.caption.placeholder","Video Caption","Video Beschriftung",

"starterkitareas.area.wysiwyg.name","Wysiwyg","Wysiwyg",
"starterkitareas.area.wysiwyg.description","Html Text Editor","HTML-Text-Editor",
"starterkitareas.area.wysiwyg.selectWysiwygType","Wysiwyg Type","Wysiwyg Typ",
"starterkitareas.area.wysiwyg.default","Default","Standard",
"starterkitareas.area.wysiwyg.medium","Medium","Medium",
"starterkitareas.area.wysiwyg.minimal","Minimal","Minimal",
"starterkitareas.area.wysiwyg.placeholder","Content","Inhalt"

"starterkitareas.area.one-pager.name", "Onepager", "Onepager"
"starterkitareas.area.one-pager.description", "Automate anchor targets from documents", "Automatisieren von Ankern aus Dokumenten"
"starterkitareas.area.one-pager.relationAnchorParentDoc", "Drop parent Document here:", "Übergeordnetes Dokument hier ablegen:"
"starterkitareas.area.one-pager.editmode.description", "Please drop document into Edit->Relation Field", "Bitte legen Sie das Dokument in Bearbeiten->Beziehungsfeld ab."
"starterkitareas.area.one-pager.checkboxDispalyIdEditmode", "Show Anchor-ID in edit mode","Anker-Id im Editmode anzeigen"

"starterkitareas.area.hero-slick-slider.name", "Hero Splitted Slick-Slider", "Hero Splitted Slick-Slider"
"starterkitareas.area.hero-slick-slider.description","Vertical counter-rotating slider","Vertikal gegen sich drehender Slider"
"starterkitareas.area.hero-slick-slider.editmode.description", "Please drop data object folder into Edit->Relation Field", "Bitte legen Sie den Faten.Objekt Ordner in Bearbeiten->Beziehungsfeld ab."
"starterkitareas.area.hero-slick-slider.relationObjectSliderFolder","Drop Data Objects Folder here:", "Daten Objekte Ordner mit den Slider Objekten hier ablegen:"
"starterkitareas.area.hero-slick-slider.checkboxHideArrows","Hide Arrows","Pfeile ausblenden"
